Taxa de analfabetismo - pessoas com 15 anos ou mais - homem 
Sigla;Código;Região;2017;2018;2019;2022;2023;
CO;5;Região Centro-oeste;4,8;5;4,4;4,1;3,7;
N;1;Região Norte;8,1;8;7,6;7;6,9;
NE;2;Região Nordeste;15;14,3;14,3;13,1;12,8;
S;4;Região Sul;2,8;2,9;2,7;2,6;2,5;
SE;3;Região Sudeste;3;2,9;2,9;2,7;2,7;
