Taxa de analfabetismo - pessoas com 15 anos ou mais
Sigla;Código;Região;2016;2017;2018;2019;2022;2023;
CO;5;Região Centro-oeste;5,2;4,8;4,9;4,4;4;3,7;
N;1;Região Norte;7,9;7,6;7,4;7;6,4;6,4;
NE;2;Região Nordeste;13,9;13,7;13;12,9;11,7;11,2;
S;4;Região Sul;3,3;3,2;3,3;3;3;2,8;
SE;3;Região Sudeste;3,5;3,3;3,2;3;2,9;2,9;
