ano;sigla;regiao;estado;valor;valor_anl_negros_prados;valor_anl_brancos;valor_anl_homem;valor_anl_mulher;valor_pobreza;valor_indice_gini;valor_absoluto_disparidade;valor_despesa_educacao;tipo_indicador;data_carga;data_referencia;valor_populacional;valor_pib
2022;BA;"Região Nordeste     ";"Bahia               ";10,3;NULL;NULL;NULL;NULL;50,5;0,511;7226370,886;11444678702,54;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2022-12-01;14141626;NULL
2023;BA;"Região Nordeste     ";"Bahia               ";10,2;NULL;NULL;NULL;NULL;45,9567230401765;0,49;6955489,43790176;12637229896,79;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2023-12-01;14194876,4038811;1139
2016;BR;NULL;NULL;6,7;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO BRASIL                      ";2025-01-13 07:03:54.287;2016-12-01;NULL;NULL
2017;BR;NULL;NULL;6,5;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO BRASIL                      ";2025-01-13 07:03:54.287;2017-12-01;NULL;NULL
2017;BR;NULL;NULL;3,8;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO BRASIL BRANCOS              ";2025-01-13 07:03:54.287;2017-12-01;NULL;NULL
2017;BR;NULL;NULL;6,7;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO BRASIL GENERO HOMENS        ";2025-01-13 07:03:54.287;2017-12-01;NULL;NULL
2017;BR;NULL;NULL;6,3;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO BRASIL GENERO MULHERES      ";2025-01-13 07:03:54.287;2017-12-01;NULL;NULL
2017;BR;NULL;NULL;8,7;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO BRASIL RAÇA PRETOS/PARDOS   ";2025-01-13 07:03:54.287;2017-12-01;NULL;NULL
2018;BR;NULL;NULL;6,3;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO BRASIL                      ";2025-01-13 07:03:54.287;2018-12-01;NULL;NULL
2018;BR;NULL;NULL;3,6;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO BRASIL BRANCOS              ";2025-01-13 07:03:54.287;2018-12-01;NULL;NULL
2018;BR;NULL;NULL;6,5;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO BRASIL GENERO HOMENS        ";2025-01-13 07:03:54.287;2018-12-01;NULL;NULL
2018;BR;NULL;NULL;6,1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO BRASIL GENERO MULHERES      ";2025-01-13 07:03:54.287;2018-12-01;NULL;NULL
2018;BR;NULL;NULL;8,4;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO BRASIL RAÇA PRETOS/PARDOS   ";2025-01-13 07:03:54.287;2018-12-01;NULL;NULL
2019;BR;NULL;NULL;6,1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO BRASIL                      ";2025-01-13 07:03:54.287;2019-12-01;NULL;NULL
