ano;sigla;regiao;estado;valor;valor_anl_negros_prados;valor_anl_brancos;valor_anl_homem;valor_anl_mulher;valor_pobreza;valor_indice_gini;valor_absoluto_disparidade;valor_despesa_educacao;tipo_indicador;data_carga;data_referencia;valor_populacional;valor_pib
2019;NE;"Região Nordeste     ";NULL;12,9;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO REGIAO                      ";2025-01-13 07:03:54.287;2019-12-01;NULL;NULL
2022;NE;"Região Nordeste     ";NULL;11,7;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO REGIAO                      ";2025-01-13 07:03:54.287;2022-12-01;NULL;NULL
2023;NE;"Região Nordeste     ";NULL;11,2;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO REGIAO                      ";2025-01-13 07:03:54.287;2023-12-01;NULL;NULL
2017;PA;"Região Norte        ";"Pará                ";8,2;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2017-12-01;NULL;NULL
2018;PA;"Região Norte        ";"Pará                ";8,2;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2018-12-01;NULL;NULL
2019;PA;"Região Norte        ";"Pará                ";7,8;NULL;NULL;NULL;NULL;54,7;0,528;4542312,72;3750041852,5;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2019-12-01;8602865;NULL
2022;PA;"Região Norte        ";"Pará                ";7,4;NULL;NULL;NULL;NULL;47;0,508;4125026,548;5776418299,04;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2022-12-01;8120131;NULL
2023;PA;"Região Norte        ";"Pará                ";6,9;NULL;NULL;NULL;NULL;39,2429459237995;0,501;4109181,54208584;7323707581,4;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2023-12-01;8201959,16583999;1282
2017;PB;"Região Nordeste     ";"Paraíba             ";15,7;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2017-12-01;NULL;NULL
2018;PB;"Região Nordeste     ";"Paraíba             ";15,2;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2018-12-01;NULL;NULL
2019;PB;"Região Nordeste     ";"Paraíba             ";15,1;NULL;NULL;NULL;NULL;51,9;0,561;2254169,247;2278462900,71;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2019-12-01;4018127;NULL
2022;PB;"Região Nordeste     ";"Paraíba             ";13,6;NULL;NULL;NULL;NULL;52,7;0,558;2217875,346;3473037242,64;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2022-12-01;3974687;NULL
2023;PB;"Região Nordeste     ";"Paraíba             ";13,2;NULL;NULL;NULL;NULL;47,436198335318;0,559;2233370,88198218;3864924464,55;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2023-12-01;3995296,74773199;1320
2017;PE;"Região Nordeste     ";"Pernambuco          ";12,7;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2017-12-01;NULL;NULL
2018;PE;"Região Nordeste     ";"Pernambuco          ";11;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2018-12-01;NULL;NULL
2019;PE;"Região Nordeste     ";"Pernambuco          ";11;NULL;NULL;NULL;NULL;51,8;0,574;5485758,754;3208299074,85;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2019-12-01;9557071;NULL
2022;PE;"Região Nordeste     ";"Pernambuco          ";11;NULL;NULL;NULL;NULL;50,7;0,515;4665349,465;6551544189,74;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2022-12-01;9058931;NULL
2023;PE;"Região Nordeste     ";"Pernambuco          ";10,1;NULL;NULL;NULL;NULL;47,478001724886;0,496;4520818,42864212;7163168946,57;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2023-12-01;9114553,28355265;1113
2017;PI;"Região Nordeste     ";"Piauí               ";15,6;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2017-12-01;NULL;NULL
2018;PI;"Região Nordeste     ";"Piauí               ";15,5;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2018-12-01;NULL;NULL
2019;PI;"Região Nordeste     ";"Piauí               ";15;NULL;NULL;NULL;NULL;52,6;0,537;1757722,899;1642831824,9;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2019-12-01;3273227;NULL
2022;PI;"Região Nordeste     ";"Piauí               ";14,8;NULL;NULL;NULL;NULL;48,2;0,518;1694481,082;2549804364,63;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2022-12-01;3271199;NULL
2023;PI;"Região Nordeste     ";"Piauí               ";13,3;NULL;NULL;NULL;NULL;45,3403179880623;0,552;1810127,07127103;2646360342,72;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2023-12-01;3279215,70882433;1342
2017;PR;"Região Sul          ";"Paraná              ";4,2;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2017-12-01;NULL;NULL
2018;PR;"Região Sul          ";"Paraná              ";4,5;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2018-12-01;NULL;NULL
2019;PR;"Região Sul          ";"Paraná              ";4,1;NULL;NULL;NULL;NULL;20,1;0,477;5453997,489;9287118520,13;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2019-12-01;11433957;NULL
2022;PR;"Região Sul          ";"Paraná              ";3,9;NULL;NULL;NULL;NULL;20;0,47;5378858,6;11751729656,44;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2022-12-01;11444380;NULL
2023;PR;"Região Sul          ";"Paraná              ";3,4;NULL;NULL;NULL;NULL;17,2917404791827;0,463;5336504,47194523;13425659281,96;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2023-12-01;11525927,5851949;2115
2017;RJ;"Região Sudeste      ";"Rio de Janeiro      ";2,4;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2017-12-01;NULL;NULL
2018;RJ;"Região Sudeste      ";"Rio de Janeiro      ";2,2;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2018-12-01;NULL;NULL
2019;RJ;"Região Sudeste      ";"Rio de Janeiro      ";1,9;NULL;NULL;NULL;NULL;25,8;0,552;9530248,536;6660156436,18;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2019-12-01;17264943;NULL
2022;RJ;"Região Sudeste      ";"Rio de Janeiro      ";2,1;NULL;NULL;NULL;NULL;26,6;0,54;8669793,96;9317566283,34;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2022-12-01;16055174;NULL
2023;RJ;"Região Sudeste      ";"Rio de Janeiro      ";2;NULL;NULL;NULL;NULL;21,032269174701;0,54;8719467,68738578;10226170243,83;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2023-12-01;16147162,3840477;2367
2017;RN;"Região Nordeste     ";"Rio Grande do Norte ";12,9;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2017-12-01;NULL;NULL
2018;RN;"Região Nordeste     ";"Rio Grande do Norte ";12,1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2018-12-01;NULL;NULL
2019;RN;"Região Nordeste     ";"Rio Grande do Norte ";12,6;NULL;NULL;NULL;NULL;47,1;0,554;1942796,562;1471527310,86;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2019-12-01;3506853;NULL
2022;RN;"Região Nordeste     ";"Rio Grande do Norte ";10,5;NULL;NULL;NULL;NULL;44,2;0,526;1737235,454;2324968797,71;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2022-12-01;3302729;NULL
2023;RN;"Região Nordeste     ";"Rio Grande do Norte ";10,9;NULL;NULL;NULL;NULL;43,5067334061648;0,535;1780524,75238591;2630709719,09;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2023-12-01;3328083,64931945;1373
2017;RO;"Região Norte        ";"Rondônia            ";6,5;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2017-12-01;NULL;NULL
2018;RO;"Região Norte        ";"Rondônia            ";5,8;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2018-12-01;NULL;NULL
2019;RO;"Região Norte        ";"Rondônia            ";5,7;NULL;NULL;NULL;NULL;32,5;0,472;838850,2;1314435591,44;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2019-12-01;1777225;NULL
2022;RO;"Região Norte        ";"Rondônia            ";4,9;NULL;NULL;NULL;NULL;29,6;0,447;706794,612;2211067008,25;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2022-12-01;1581196;NULL
2023;RO;"Região Norte        ";"Rondônia            ";5,1;NULL;NULL;NULL;NULL;24,4140564982483;0,455;727105,576383132;2332459834,49;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2023-12-01;1598034,23380908;1527
2017;RR;"Região Norte        ";"Roraima             ";5,6;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2017-12-01;NULL;NULL
2018;RR;"Região Norte        ";"Roraima             ";5,5;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2018-12-01;NULL;NULL
2019;RR;"Região Norte        ";"Roraima             ";4,6;NULL;NULL;NULL;NULL;49,7;0,58;351341,38;713484978,44;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2019-12-01;605761;NULL
2022;RR;"Região Norte        ";"Roraima             ";3,9;NULL;NULL;NULL;NULL;45,1;0,547;348278,729;1320536210,9;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2022-12-01;636707;NULL
2023;RR;"Região Norte        ";"Roraima             ";4,2;NULL;NULL;NULL;NULL;35,4768890350515;0,52;343681,811995284;1591691050,44;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2023-12-01;660926,561529392;1425
2017;RS;"Região Sul          ";"Rio Grande do Sul   ";2,8;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2017-12-01;NULL;NULL
2018;RS;"Região Sul          ";"Rio Grande do Sul   ";2,8;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2018-12-01;NULL;NULL
2019;RS;"Região Sul          ";"Rio Grande do Sul   ";2,4;NULL;NULL;NULL;NULL;15,9;0,482;5483829,198;3872946382,63;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2019-12-01;11377239;NULL
2022;RS;"Região Sul          ";"Rio Grande do Sul   ";2,5;NULL;NULL;NULL;NULL;16,8;0,467;5082344,655;5476990791,24;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2022-12-01;10882965;NULL
2023;RS;"Região Sul          ";"Rio Grande do Sul   ";2,7;NULL;NULL;NULL;NULL;14,4216685711101;0,466;5091345,97811964;5885504232,81;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2023-12-01;10925635,1461795;2304
2016;"S ";"Região Sul          ";NULL;3,3;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO REGIAO                      ";2025-01-13 07:03:54.287;2016-12-01;NULL;NULL
2017;"S ";"Região Sul          ";NULL;3,2;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO REGIAO                      ";2025-01-13 07:03:54.287;2017-12-01;NULL;NULL
2018;"S ";"Região Sul          ";NULL;3,3;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO REGIAO                      ";2025-01-13 07:03:54.287;2018-12-01;NULL;NULL
2019;"S ";"Região Sul          ";NULL;3;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO REGIAO                      ";2025-01-13 07:03:54.287;2019-12-01;NULL;NULL
2022;"S ";"Região Sul          ";NULL;3;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO REGIAO                      ";2025-01-13 07:03:54.287;2022-12-01;NULL;NULL
2023;"S ";"Região Sul          ";NULL;2,8;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO REGIAO                      ";2025-01-13 07:03:54.287;2023-12-01;NULL;NULL
2017;SC;"Região Sul          ";"Santa Catarina      ";2,4;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2017-12-01;NULL;NULL
2018;SC;"Região Sul          ";"Santa Catarina      ";2,3;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2018-12-01;NULL;NULL
2019;SC;"Região Sul          ";"Santa Catarina      ";2,1;NULL;NULL;NULL;NULL;11,9;0,421;3016375,748;3749248002,84;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2019-12-01;7164788;NULL
2022;SC;"Região Sul          ";"Santa Catarina      ";2,2;NULL;NULL;NULL;NULL;12,8;0,419;3188741,259;7253848925,66;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2022-12-01;7610361;NULL
2023;SC;"Região Sul          ";"Santa Catarina      ";2;NULL;NULL;NULL;NULL;11,4788244243592;0,418;3219457,71994341;6699528963,48;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2023-12-01;7702051,96158712;2269
2016;SE;"Região Sudeste      ";NULL;3,5;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO REGIAO                      ";2025-01-13 07:03:54.287;2016-12-01;NULL;NULL
2017;SE;"Região Sudeste      ";NULL;3,3;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO REGIAO                      ";2025-01-13 07:03:54.287;2017-12-01;NULL;NULL
2017;SE;"Região Nordeste     ";"Sergipe             ";13,7;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2017-12-01;NULL;NULL
2018;SE;"Região Sudeste      ";NULL;3,2;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO REGIAO                      ";2025-01-13 07:03:54.287;2018-12-01;NULL;NULL
2018;SE;"Região Nordeste     ";"Sergipe             ";12,9;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2018-12-01;NULL;NULL
2019;SE;"Região Sudeste      ";NULL;3;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO REGIAO                      ";2025-01-13 07:03:54.287;2019-12-01;NULL;NULL
2019;SE;"Região Nordeste     ";"Sergipe             ";12,6;NULL;NULL;NULL;NULL;52,5;0,581;1335542,376;1063164481,79;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2019-12-01;2298696;NULL
2022;SE;"Região Sudeste      ";NULL;2,9;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO REGIAO                      ";2025-01-13 07:03:54.287;2022-12-01;NULL;NULL
2022;SE;"Região Nordeste     ";"Sergipe             ";11,7;NULL;NULL;NULL;NULL;45,6;0,528;1166882,112;1907750222,58;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2022-12-01;2210004;NULL
2023;SE;"Região Sudeste      ";NULL;2,9;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO REGIAO                      ";2025-01-13 07:03:54.287;2023-12-01;NULL;NULL
2023;SE;"Região Nordeste     ";"Sergipe             ";11,2;NULL;NULL;NULL;NULL;44,0732058472424;0,507;1130125,11392023;1886802386,2;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2023-12-01;2229043,61719966;1218
2017;SP;"Região Sudeste      ";"São Paulo           ";2,4;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2017-12-01;NULL;NULL
2018;SP;"Região Sudeste      ";"São Paulo           ";2,4;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2018-12-01;NULL;NULL
2019;SP;"Região Sudeste      ";"São Paulo           ";2,4;NULL;NULL;NULL;NULL;18,7;0,526;24153419,774;36013498363,54;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2019-12-01;45919049;NULL
2022;SP;"Região Sudeste      ";"São Paulo           ";2,2;NULL;NULL;NULL;NULL;19,6;0,5;22205619;53112442842,94;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2022-12-01;44411238;NULL
2023;SP;"Região Sudeste      ";"São Paulo           ";2,3;NULL;NULL;NULL;NULL;16,4653849782578;0,504;22560502,1393908;59163200641,17;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2023-12-01;44762901,0702198;2492
2017;TO;"Região Norte        ";"Tocantins           ";9,4;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2017-12-01;NULL;NULL
2018;TO;"Região Norte        ";"Tocantins           ";9,1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2018-12-01;NULL;NULL
2019;TO;"Região Norte        ";"Tocantins           ";8,9;NULL;NULL;NULL;NULL;43,7;0,53;833618,98;1276524192,07;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2019-12-01;1572866;NULL
2022;TO;"Região Norte        ";"Tocantins           ";7,2;NULL;NULL;NULL;NULL;34;0,507;766310,22;2103116850,13;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2022-12-01;1511460;NULL
2023;TO;"Região Norte        ";"Tocantins           ";7,8;NULL;NULL;NULL;NULL;28,5988038059199;0,477;728829,869597241;2295794340,69;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2023-12-01;1527945,21928143;1581
